Wires computation for maximum sag hypothesis
- Project file ...................................: F:/seguridad_rural/Tendidos/pwl_tendidos.sqlite
- Electric pylons connection .....................: EP_31_EP_32
- Number of wire groups to compute ...............: 4
- Processing parameters:
  - Process only enabled connections .............: True
  - Process only enabled wires groups ............: True
  - Powerline voltage (kv) .......................: 132.0
  - Wire type ....................................: 242-AL1/39-ST1A
  - Wire section (mm2) ...........................: 281.1
  - Wire elastic modulus (daN/mm2) ...............: 7500.0
  - Wire coef linear thermal expansion (ºC-1) ....: 0.000018900
  - Wire weight (daN/m) ..........................: 0.977
  - Wire diameter (mm) ...........................: 21.8
  - Wire breaking coefficient (daN) ..............: 8450.0
  - Wire maximum distance from axis (m) ..........: 8.0
  - Maximum vertical distance between wires (m) ..: 18.0
  - Minimum safety ground distance (m) ...........: 10.0
  - Safety ground distance (m) ...................: 10.0
  - Digital terrain model file name ..............: F:/seguridad_rural/Tendidos/data/primera_cobertura_dtm.tif
- Region of interest .............................: POLYGON((565037.0022 4283546.1468,565474.7137 4283386.8021,565469.2405 4283371.7673,565031.5290 4283531.1120,565037.0022 4283546.1468))
- Minimum elevation from dtm .....................: 1081.853
- Maximum elevation from dtm .....................: 1200.200
- Maximum Sag ....................................: 26.562
- Catenary computed from Sag: height(x)=c*cosh((x-x_min)/c)+bias, x is the 2d distance to first point;
  - First point ..................................: ( 565034.2656, 4283538.6294, 1200.1867)
  - Last point ...................................: ( 565471.9771, 4283379.2847, 1082.2000)
  - Length (2d,m) ................................: 465.813
  - Delta H (m) ..................................: -117.987
  - Length (3d,m) ................................: 480.524
  - Azimuth (deg) ................................: 110.003553366341
    Iter      cSag   Error_sag
       1    1.3848     25.1776
       2    1.9584     24.6040
       3    2.3985     24.1639
       4    2.7696     23.7928
       5    3.0965     23.4659
       6    3.3921     23.1703
       7    3.6639     22.8985
       8    3.9169     22.6455
       9    4.1545     22.4079
      10    4.3793     22.1831
      11    4.5931     21.9693
      12    4.7973     21.7651
      13    4.9932     21.5691
      14    5.1818     21.3806
      15    5.3637     21.1987
      16    5.5396     21.0228
      17    5.7101     20.8522
      18    5.8757     20.6867
      19    6.0368     20.5256
      20    6.1936     20.3687
      21    6.3466     20.2158
      22    6.4960     20.0664
      23    6.6421     19.9203
      24    6.7850     19.7774
      25    6.9249     19.6375
      26    7.0621     19.5003
      27    7.1967     19.3657
      28    7.3288     19.2336
      29    7.4585     19.1038
      30    7.5861     18.9763
      31    7.7115     18.8508
      32    7.8350     18.7274
      33    7.9565     18.6059
      34    8.0762     18.4862
      35    8.1942     18.3682
      36    8.3105     18.2519
      37    8.4252     18.1372
      38    8.5383     18.0241
      39    8.6500     17.9124
      40    8.7602     17.8022
      41    8.8691     17.6933
      42    8.9767     17.5857
      43    9.0830     17.4794
      44    9.1880     17.3743
      45    9.2919     17.2705
      46    9.3947     17.1677
      47    9.4963     17.0661
      48    9.5968     16.9656
      49    9.6963     16.8660
      50    9.7948     16.7675
      51    9.8924     16.6700
      52    9.9889     16.5734
      53   10.0846     16.4778
      54   10.1794     16.3830
      55   10.2732     16.2891
      56   10.3663     16.1961
      57   10.4585     16.1039
      58   10.5499     16.0125
      59   10.6405     15.9219
      60   10.7304     15.8320
      61   10.8195     15.7429
      62   10.9079     15.6545
      63   10.9956     15.5668
      64   11.0826     15.4798
      65   11.1689     15.3935
      66   11.2546     15.3078
      67   11.3396     15.2228
      68   11.4240     15.1384
      69   11.5077     15.0547
      70   11.5909     14.9715
      71   11.6735     14.8889
      72   11.7554     14.8069
      73   11.8369     14.7255
      74   11.9177     14.6446
      75   11.9981     14.5643
      76   12.0779     14.4845
      77   12.1572     14.4052
      78   12.2359     14.3265
      79   12.3142     14.2482
      80   12.3920     14.1704
      81   12.4692     14.0931
      82   12.5461     14.0163
      83   12.6224     13.9400
      84   12.6983     13.8641
      85   12.7737     13.7886
      86   12.8487     13.7136
      87   12.9233     13.6391
      88   12.9974     13.5649
      89   13.0712     13.4912
      90   13.1445     13.4179
      91   13.2174     13.3450
      92   13.2899     13.2725
      93   13.3620     13.2004
      94   13.4337     13.1286
      95   13.5051     13.0573
      96   13.5761     12.9863
      97   13.6467     12.9157
      98   13.7169     12.8454
      99   13.7868     12.7756
     100   13.8564     12.7060
     101   13.9256     12.6368
     102   13.9944     12.5680
     103   14.0629     12.4994
     104   14.1311     12.4312
     105   14.1990     12.3634
     106   14.2665     12.2958
     107   14.3338     12.2286
     108   14.4007     12.1617
     109   14.4673     12.0951
     110   14.5336     12.0288
     111   14.5996     11.9628
     112   14.6653     11.8971
     113   14.7307     11.8317
     114   14.7959     11.7665
     115   14.8607     11.7017
     116   14.9253     11.6371
     117   14.9896     11.5728
     118   15.0536     11.5088
     119   15.1173     11.4451
     120   15.1808     11.3816
     121   15.2440     11.3184
     122   15.3070     11.2554
     123   15.3697     11.1927
     124   15.4321     11.1302
     125   15.4943     11.0680
     126   15.5563     11.0061
     127   15.6180     10.9444
     128   15.6795     10.8829
     129   15.7407     10.8217
     130   15.8017     10.7607
     131   15.8624     10.6999
     132   15.9230     10.6394
     133   15.9833     10.5791
     134   16.0433     10.5190
     135   16.1032     10.4592
     136   16.1628     10.3996
     137   16.2222     10.3401
     138   16.2814     10.2809
     139   16.3404     10.2219
     140   16.3992     10.1632
     141   16.4578     10.1046
     142   16.5161     10.0462
     143   16.5743      9.9881
     144   16.6323      9.9301
     145   16.6900      9.8724
     146   16.7476      9.8148
     147   16.8049      9.7575
     148   16.8621      9.7003
     149   16.9191      9.6433
     150   16.9759      9.5865
     151   17.0325      9.5299
     152   17.0889      9.4735
     153   17.1451      9.4173
     154   17.2012      9.3612
     155   17.2570      9.3054
     156   17.3127      9.2497
     157   17.3682      9.1942
     158   17.4236      9.1388
     159   17.4787      9.0837
     160   17.5337      9.0287
     161   17.5885      8.9739
     162   17.6432      8.9192
     163   17.6976      8.8647
     164   17.7520      8.8104
     165   17.8061      8.7563
     166   17.8601      8.7023
     167   17.9139      8.6484
     168   17.9676      8.5948
     169   18.0211      8.5413
     170   18.0745      8.4879
     171   18.1277      8.4347
     172   18.1807      8.3817
     173   18.2336      8.3288
     174   18.2863      8.2761
     175   18.3389      8.2235
     176   18.3914      8.1710
     177   18.4436      8.1187
     178   18.4958      8.0666
     179   18.5478      8.0146
     180   18.5996      7.9627
     181   18.6514      7.9110
     182   18.7029      7.8595
     183   18.7543      7.8080
     184   18.8056      7.7567
     185   18.8568      7.7056
     186   18.9078      7.6546
     187   18.9587      7.6037
     188   19.0094      7.5530
     189   19.0600      7.5023
     190   19.1105      7.4519
     191   19.1609      7.4015
     192   19.2111      7.3513
     193   19.2612      7.3012
     194   19.3111      7.2513
     195   19.3609      7.2014
     196   19.4106      7.1517
     197   19.4602      7.1022
     198   19.5097      7.0527
     199   19.5590      7.0034
     200   19.6082      6.9542
     201   19.6573      6.9051
     202   19.7063      6.8561
     203   19.7551      6.8073
     204   19.8038      6.7586
     205   19.8524      6.7100
     206   19.9009      6.6615
     207   19.9493      6.6131
     208   19.9975      6.5648
     209   20.0457      6.5167
