Wires computation for maximum sag hypothesis
- Project file ...................................: F:/seguridad_rural/Tendidos/pwl_tendidos.sqlite
- Electric pylons connection .....................: EP_48_EP_49
- Number of wire groups to compute ...............: 4
- Processing parameters:
  - Process only enabled connections .............: True
  - Process only enabled wires groups ............: True
  - Powerline voltage (kv) .......................: 132.0
  - Wire type ....................................: 242-AL1/39-ST1A
  - Wire section (mm2) ...........................: 281.1
  - Wire elastic modulus (daN/mm2) ...............: 7500.0
  - Wire coef linear thermal expansion (ºC-1) ....: 0.000018900
  - Wire weight (daN/m) ..........................: 0.977
  - Wire diameter (mm) ...........................: 21.8
  - Wire breaking coefficient (daN) ..............: 8450.0
  - Wire maximum distance from axis (m) ..........: 8.0
  - Maximum vertical distance between wires (m) ..: 18.0
  - Minimum safety ground distance (m) ...........: 10.0
  - Safety ground distance (m) ...................: 10.0
  - Digital terrain model file name ..............: F:/seguridad_rural/Tendidos/data/primera_cobertura_dtm.tif
- Region of interest .............................: POLYGON((569332.0032 4282743.7640,569682.4818 4282797.0100,569684.8850 4282781.1916,569334.4064 4282727.9456,569332.0032 4282743.7640))
- Minimum elevation from dtm .....................: 1153.908
- Maximum elevation from dtm .....................: 1173.055
- Maximum Sag ....................................: 15.642
- Catenary computed from Sag: height(x)=c*cosh((x-x_min)/c)+bias, x is the 2d distance to first point;
  - First point ..................................: ( 569333.2048, 4282735.8548, 1161.8864)
  - Last point ...................................: ( 569683.6834, 4282789.1008, 1170.0842)
  - Length (2d,m) ................................: 354.500
  - Delta H (m) ..................................: 8.198
  - Length (3d,m) ................................: 354.595
  - Azimuth (deg) ................................: 81.361471322279
    Iter      cSag   Error_sag
       1    1.1535     14.4885
       2    1.6313     14.0107
       3    1.9979     13.6440
       4    2.3070     13.3349
       5    2.5793     13.0626
       6    2.8255     12.8164
       7    3.0519     12.5900
       8    3.2627     12.3792
       9    3.4607     12.1813
      10    3.6479     11.9940
      11    3.8260     11.8160
      12    3.9961     11.6458
      13    4.1593     11.4826
      14    4.3164     11.3255
      15    4.4679     11.1740
      16    4.6145     11.0274
      17    4.7566     10.8853
      18    4.8945     10.7474
      19    5.0287     10.6132
      20    5.1594     10.4825
      21    5.2869     10.3551
      22    5.4113     10.2306
      23    5.5330     10.1089
      24    5.6521      9.9899
      25    5.7687      9.8733
      26    5.8830      9.7590
      27    5.9951      9.6468
      28    6.1052      9.5368
      29    6.2133      9.4286
      30    6.3196      9.3224
      31    6.4241      9.2178
      32    6.5269      9.1150
      33    6.6282      9.0137
      34    6.7280      8.9140
      35    6.8262      8.8157
      36    6.9231      8.7188
      37    7.0187      8.6232
      38    7.1130      8.5289
      39    7.2060      8.4359
      40    7.2979      8.3440
      41    7.3887      8.2533
      42    7.4783      8.1636
      43    7.5669      8.0751
      44    7.6544      7.9875
      45    7.7410      7.9009
      46    7.8266      7.8153
      47    7.9113      7.7306
      48    7.9951      7.6468
      49    8.0780      7.5639
      50    8.1601      7.4818
      51    8.2414      7.4005
      52    8.3219      7.3200
      53    8.4016      7.2403
      54    8.4806      7.1613
      55    8.5588      7.0831
      56    8.6364      7.0055
      57    8.7132      6.9287
      58    8.7894      6.8525
      59    8.8650      6.7770
      60    8.9399      6.7021
      61    9.0141      6.6278
      62    9.0878      6.5541
      63    9.1609      6.4810
      64    9.2334      6.4085
      65    9.3054      6.3366
      66    9.3768      6.2652
      67    9.4476      6.1943
      68    9.5180      6.1240
      69    9.5878      6.0542
      70    9.6571      5.9848
      71    9.7259      5.9160
      72    9.7943      5.8476
      73    9.8622      5.7798
