Determination of hazard areas report
- Project file .........................: C:/uclm/Ejemplo_Zamora_1/PNOA_LiDAR/pwl_pnoa_lidar_2019.sqlite
- Electric pylons connection ...........: EP_7_EP_1
- Number of wire groups ................: 4
- Processing parameters:
  - Process only enabled ...............: True
  - Minimum area size ..................: 0.500
  - Buffer area size ...................: 50.000
  - Connection distance ................: 1
  - Maximum number of connected cells ..:100
  - DTM raster file ....................: C:/uclm/Ejemplo_Zamora_1/PNOA_LiDAR/Preprocesamiento/zamora_dtm_pnoa_lidar_2019.tif
  - Wind deviation using maximum sag ...: True
  - Maximum wind deviation (no if sag) .: 5.000
  - Minimum distance by fall ...........: 1.000
  - Minimum free height ................: 10.000
  - Minimum slope distance .............: 5.000
  - Point classes to ignore ............: 7,8,9,10,11,12
  - Catenary threshold .................: 0.400
- Get Object Points time ......: 10 milliseconds
- Get Points geometry time ....: 350 milliseconds
- Region of interest ..........: POLYGON((299188.4129 4628155.7266,299472.2110 4628299.9047,299517.5042 4628210.7501,299233.7061 4628066.5721,299188.4129 4628155.7266))
- Number of points in region ..: 20626
- Number of points to ignore: 
  - First electric pylon ......: 51
  - Second electric pylon .....: 69
  - Electric pylons connection : 1
  - Wires groups ..............: 0
- Number of grids .............: 17105
- Get height grids time .......: 55 milliseconds
- Get values by grid time .....: 65 milliseconds
- Get connected grids time ....: 10 milliseconds
- Get statistics by group time : 847 milliseconds
- Hazard areas maximum sag hypothesis groups:  2315
                                            Statistics distances                            Statistics fall distances                       Statistics free heights
   N.Cells         Objects Ids   Count      Mean   Minimum   Maximum       Std   Count      Mean   Minimum   Maximum       Std   Count      Mean   Minimum   Maximum       Std  WktGeometry
         1                  34       1      6.32      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299231 4628135,299231.0 4628135.5,299231.5 4628135.5,299231.5 4628135.0,299231 4628135))
         1                  34       1      6.50      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299231.5 4628133.0,299231.5 4628133.5,299232.0 4628133.5,299232 4628133,299231.5 4628133.0))
         1                  34       1      5.92      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299231.5 4628134.0,299231.5 4628134.5,299232.0 4628134.5,299232 4628134,299231.5 4628134.0))
         1                  34       1      6.81      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299231.5 4628136.5,299231.5 4628137.0,299232 4628137,299232.0 4628136.5,299231.5 4628136.5))
         1                  34       1      5.83      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299232 4628135,299232.0 4628135.5,299232.5 4628135.5,299232.5 4628135.0,299232 4628135))
         4                  34       4      5.16      4.99      5.36      0.16       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299232.5 4628134.0,299232.5 4628134.5,299233.0 4628134.5,299233.5 4628134.5,299234.0 4628134.5,299234.5 4628134.5,299234.5 4628134.0,299234 4628134,299233.5 4628134.0,299233 4628134,299232.5 4628134.0))
         1                  34       1      6.35      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299232.5 4628136.5,299232.5 4628137.0,299233 4628137,299233.0 4628136.5,299232.5 4628136.5))
         1                  34       1      6.22      ----      ----      ----       0      ----      ----      ----      ----       1      5.99      ----      ----      ----  POLYGON ((299233 4628133,299233.0 4628133.5,299233.5 4628133.5,299233.5 4628133.0,299233 4628133))
         1                  34       1      5.31      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299233 4628135,299233.0 4628135.5,299233.5 4628135.5,299233.5 4628135.0,299233 4628135))
         1                  34       1      6.77      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299233.0 4628137.5,299233 4628138,299233.5 4628138.0,299233.5 4628137.5,299233.0 4628137.5))
         2                  34       1      5.75      ----      ----      ----       0      ----      ----      ----      ----       2      6.98      5.62      8.33      1.91  POLYGON ((299234 4628133,299234.0 4628133.5,299234.5 4628133.5,299235.0 4628133.5,299235 4628133,299234.5 4628133.0,299234 4628133))
         1                  34       1      5.71      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299234.0 4628136.5,299234 4628137,299234.5 4628137.0,299234.5 4628136.5,299234.0 4628136.5))
         9                  34       9      6.08      5.64      6.59      0.35       0      ----      ----      ----      ----       0      ----      ----      ----      ----  MULTIPOLYGON (((299234.0 4628137.5,299234 4628138,299234.5 4628138.0,299235 4628138,299235.5 4628138.0,299236 4628138,299236.0 4628137.5,299235.5 4628137.5,299235.5 4628137.0,299235 4628137,299235.0 4628137.5,299234.5 4628137.5,299234.0 4628137.5)),((299236 4628137,299236.0 4628137.5,299236.5 4628137.5,299236.5 4628137.0,299236 4628137)),((299236.5 4628137.5,299236.5 4628138.0,299237 4628138,299237.0 4628137.5,299236.5 4628137.5)),((299236.5 4628138.5,299236.5 4628139.0,299237 4628139,299237.0 4628138.5,299236.5 4628138.5)),((299237 4628138,299237.0 4628138.5,299237.5 4628138.5,299237.5 4628138.0,299237 4628138)))
         1                  34       1      7.07      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299234.0 4628138.5,299234 4628139,299234.5 4628139.0,299234.5 4628138.5,299234.0 4628138.5))
         1                  34       1      4.97      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299234.5 4628135.0,299234.5 4628135.5,299235.0 4628135.5,299235 4628135,299234.5 4628135.0))
         3                  34       1      4.88      ----      ----      ----       0      ----      ----      ----      ----       3      6.58      4.59      7.59      1.72  POLYGON ((299235 4628134,299235.0 4628134.5,299235.5 4628134.5,299236.0 4628134.5,299236.5 4628134.5,299236.5 4628134.0,299236 4628134,299235.5 4628134.0,299235 4628134))
         1                  34       0      ----      ----      ----      ----       0      ----      ----      ----      ----       1      7.70      ----      ----      ----  POLYGON ((299235.5 4628133.0,299235.5 4628133.5,299236.0 4628133.5,299236 4628133,299235.5 4628133.0))
         1                  34       1      4.98      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299235.5 4628135.0,299235.5 4628135.5,299236.0 4628135.5,299236 4628135,299235.5 4628135.0))
         1                  34       1      6.57      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299235.5 4628138.5,299235.5 4628139.0,299236 4628139,299236.0 4628138.5,299235.5 4628138.5))
         2                  34       0      ----      ----      ----      ----       0      ----      ----      ----      ----       2      8.85      8.52      9.17      0.46  POLYGON ((299237 4628134,299237.0 4628134.5,299237.5 4628134.5,299238.0 4628134.5,299238 4628134,299237.5 4628134.0,299237 4628134))
         1                  34       1      5.74      ----      ----      ----       0      ----      ----      ----      ----       1      5.36      ----      ----      ----  POLYGON ((299237.0 4628135.5,299237 4628136,299237.5 4628136.0,299237.5 4628135.5,299237.0 4628135.5))
         1                  34       0      ----      ----      ----      ----       0      ----      ----      ----      ----       1      9.07      ----      ----      ----  POLYGON ((299238 4628135,299238.0 4628135.5,299238.5 4628135.5,299238.5 4628135.0,299238 4628135))
         9                  34       9      6.98      5.97      7.72      0.70       0      ----      ----      ----      ----       0      ----      ----      ----      ----  MULTIPOLYGON (((299249.5 4628145.0,299249.5 4628145.5,299250.0 4628145.5,299250 4628145,299249.5 4628145.0)),((299250.0 4628144.5,299250 4628145,299250.5 4628145.0,299250.5 4628144.5,299250.0 4628144.5)),((299250.0 4628145.5,299250 4628146,299250.0 4628146.5,299250.5 4628146.5,299250.5 4628146.0,299251 4628146,299251.5 4628146.0,299252 4628146,299252.5 4628146.0,299253 4628146,299253.0 4628145.5,299252.5 4628145.5,299252.0 4628145.5,299251.5 4628145.5,299251.0 4628145.5,299250.5 4628145.5,299250.0 4628145.5)))
         1                  34       1      6.49      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299251.0 4628144.5,299251 4628145,299251.5 4628145.0,299251.5 4628144.5,299251.0 4628144.5))
         1                  34       1      7.30      ----      ----      ----       0      ----      ----      ----      ----       0      ----      ----      ----      ----  POLYGON ((299251.0 4628146.5,299251 4628147,299251.5 4628147.0,299251.5 4628146.5,299251.0 4628146.5))
